MANAG#UN;MANAG#ID;MANAG_NO;COUNTRY_NO;MANAG_NAME;M_NAME_RUS;M_NAME_LAT;MANAG#BGN;MANAG#END
102581702;1025817;28;"268";"Акционерное общество ""Грузинская железная дорога""";"ГР";"GR";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
102581000;1025810;21;"112";"Белорусская железная дорога";"БЧ";"BC";"2007-09-17 14:09:03.147005";"2099-01-01 00:00:00.0"
102581300;1025813;24;"440";"Акционерное общество ""Литовские  железные дороги""";"ЛГ";"LG";"2007-09-17 14:09:03.163005";"2099-01-01 00:00:00.0"
102580900;1025809;20;"643";"Российские железные дороги";"РЖД";"RZD";"2007-09-17 14:09:03.147003";"2099-01-01 00:00:00.0"
102583400;1025834;67;"795";"Управление ""Туркменские железные дороги""";"ТРК";"TRK";"2007-09-17 14:09:03.256005";"2099-01-01 00:00:00.0"
102583302;1025833;66;"762";"Государственное унитарное предприятие ""Таджикская железная дорога""";"ТДЖ";"TDZ";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
102582500;1025825;52;"100";"Болгарские государственные железные дороги";"БДЖ";"BZI";"2007-09-17 14:09:03.225002";"2099-01-01 00:00:00.0"
274192100;2741921;0;"000";"Неопределённые";"НЕОП";"N/A";"2011-01-24 09:39:07.859002";"2099-01-01 00:00:00.0"
102583506;1025835;69;"004";"Железные дороги Афганистана";"АФГ";"AFG";"2011-04-22 12:30:04.578002";"2099-01-01 00:00:00.0"
402123600;4021236;81;"040";"Австрийские железные дороги";"ОББ";"OBB";"2015-10-13 12:45:04.777777";"2099-01-01 00:00:00.0"
102583100;1025831;58;"051";"Департамент ""Армянская железная дорога""";"АРМ";"ARM";"2007-09-17 14:09:03.241005";"2099-01-01 00:00:00.0"
402123700;4021237;88;"056";"Железные дороги Бельгии";"СНЦБ";"SNCB";"2015-10-13 12:45:04.777777";"2099-01-01 00:00:00.0"
102581500;1025815;26;"233";"Акционерное общество  ""Эстонская железная дорога""";"ЭВР";"EVR";"2007-09-17 14:09:03.178001";"2099-01-01 00:00:00.0"
102580800;1025808;10;"246";"Финские государственные железные дороги";"ВР";"VR";"2007-09-17 14:09:03.147001";"2099-01-01 00:00:00.0"
102583201;1025832;59;"417";"Государственное предприятие ""Национальная компания ""Кыргызская железная дорога""";"КРГ";"KRG";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
102583700;1025837;80;"276";"Немецкие железные догроги";"ДБ";"DB";"2007-09-17 14:09:03.288";"2099-01-01 00:00:00.0"
402123900;4021239;73;"300";"Железные дороги Греции";"ОСЕ";"OSE";"2015-10-13 12:45:04.777777";"2099-01-01 00:00:00.0"
102582206;1025822;33;"156";"Китайские железные дороги";"КЖД";"KZD";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
102583001;1025830;57;"031";"Закрытое акционерное общество ""Азербайджанские железные дороги""";"АЗ";"AZ";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
402123800;4021238;78;"191";"Национальная железнодорожная компания Хорватии";"ХЖ";"HZ";"2015-10-13 12:45:04.777777";"2099-01-01 00:00:00.0"
102582700;1025827;54;"203";"Чешские железные дороги";"ЧД";"CD";"2007-09-17 14:09:03.225006";"2099-01-01 00:00:00.0"
402124000;4021240;83;"380";"Итальянская железнодорожная компания ""Трениталия""";"ФС";"FS";"2015-10-13 12:45:04.777777";"2099-01-01 00:00:00.0"
102581602;1025816;27;"398";"Акционерное общество ""Национальная компания ""Казакстан Темир Жолы""";"КЗХ";"KTZ";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
102581900;1025819;30;"408";"Железная дорога Корейской Народно-Демократической Республики";"ЗЧ";"ZC";"2007-09-17 14:09:03.194003";"2099-01-01 00:00:00.0"
102581400;1025814;25;"428";"Государственное акционерное общество ""Латвийская железная дорога""";"ЛДЗ";"LDZ";"2007-09-17 14:09:03.163007";"2099-01-01 00:00:00.0"
102582800;1025828;55;"348";"Венгерские государственные железные дороги";"МАВ";"MAV";"2007-09-17 14:09:03.225008";"2099-01-01 00:00:00.0"
102583800;1025838;96;"364";"Железные дороги Исламской Респулики Иран";"РАИ";"RAI";"2007-09-17 14:09:03.288002";"2099-01-01 00:00:00.0"
102582400;1025824;51;"616";"Польские государственные железные дороги";"ПКП";"PKP";"2001-01-01 00:00:00.01";"2099-01-01 00:00:00.0"
102582001;1025820;31;"496";"АО ""Улан-Баторская железная дорога""";"УБЖД";"UBTZ";"2015-09-08 12:45:31.777777";"2099-01-01 00:00:00.0"
102582900;1025829;56;"703";"Железные дороги Словацкой Республики";"ЖСР";"ZSR";"2007-09-17 14:09:03.241001";"2099-01-01 00:00:00.0"
102582100;1025821;32;"704";"Вьетнамские железные дороги";"ДСВН";"DSVN";"2007-09-17 14:09:03.210001";"2099-01-01 00:00:00.0"
102581100;1025811;22;"804";"Государственная администрация железнодорожного транспорта Украины ""Укрзализныця""";"УЗ";"UZ";"2007-09-17 14:09:03.163001";"2099-01-01 00:00:00.0"
402124100;4021241;72;"688";"Государственная компания ""Железнице Сербии""";"ЖС";"ZS";"2015-10-13 12:45:04.777777";"2099-01-01 00:00:00.0"
102581801;1025818;29;"860";"Акционерное общество ""Узбекские железные дороги""";"УТИ";"UTI";"2015-07-13 12:45:20.777777";"2099-01-01 00:00:00.0"
102583600;1025836;75;"792";"Государственные железные дороги Турецкой Республики";"ТЦДД";"TCDD";"2007-09-17 14:09:03.272003";"2099-01-01 00:00:00.0"
102581200;1025812;23;"498";"Государственное предприятие ""Железная дорога Молдовы""";"ЧФМ";"CFM";"2007-09-17 14:09:03.163003";"2099-01-01 00:00:00.0"
102582600;1025826;53;"642";"Румынские железные дороги";"ЧФР";"CFR";"2007-09-17 14:09:03.225004";"2099-01-01 00:00:00.0"
